id,product_title,price,image1,image2,image3,color,department
1,Wine - Spumante Bambino White,76,http://dummyimage.com/112x148.png/ff4444/ffffff,http://dummyimage.com/177x112.png/ff4444/ffffff,http://dummyimage.com/201x147.png/5fa2dd/ffffff,Orange,Kids
2,Beer - Labatt Blue,87,http://dummyimage.com/125x242.png/cc0000/ffffff,http://dummyimage.com/148x149.png/5fa2dd/ffffff,http://dummyimage.com/161x183.png/ff4444/ffffff,Fuscia,Books
3,Puree - Mocha,27,http://dummyimage.com/149x180.png/dddddd/000000,http://dummyimage.com/164x133.png/cc0000/ffffff,http://dummyimage.com/173x126.png/dddddd/000000,Violet,Electronics
4,Chinese Foods - Cantonese,58,http://dummyimage.com/155x135.png/5fa2dd/ffffff,http://dummyimage.com/174x182.png/cc0000/ffffff,http://dummyimage.com/176x194.png/cc0000/ffffff,Green,Industrial
5,Bread Bowl Plain,54,http://dummyimage.com/139x187.png/5fa2dd/ffffff,http://dummyimage.com/218x227.png/ff4444/ffffff,http://dummyimage.com/145x107.png/ff4444/ffffff,Aquamarine,Computers
6,"Lamb - Pieces, Diced",34,http://dummyimage.com/100x147.png/5fa2dd/ffffff,http://dummyimage.com/121x243.png/dddddd/000000,http://dummyimage.com/108x128.png/dddddd/000000,Orange,Beauty
7,Coffee - Almond Amaretto,62,http://dummyimage.com/105x209.png/dddddd/000000,http://dummyimage.com/163x135.png/dddddd/000000,http://dummyimage.com/123x137.png/ff4444/ffffff,Fuscia,Outdoors
8,"Tomatoes - Diced, Canned",12,http://dummyimage.com/199x132.png/ff4444/ffffff,http://dummyimage.com/215x204.png/cc0000/ffffff,http://dummyimage.com/108x134.png/5fa2dd/ffffff,Green,Sports
9,Pears - Bartlett,67,http://dummyimage.com/230x190.png/cc0000/ffffff,http://dummyimage.com/207x111.png/ff4444/ffffff,http://dummyimage.com/226x127.png/cc0000/ffffff,Yellow,Sports
10,"Stock - Chicken, White",44,http://dummyimage.com/188x147.png/ff4444/ffffff,http://dummyimage.com/179x207.png/cc0000/ffffff,http://dummyimage.com/203x118.png/5fa2dd/ffffff,Turquoise,Music
11,Trueblue - Blueberry 12x473ml,51,http://dummyimage.com/218x226.png/dddddd/000000,http://dummyimage.com/124x136.png/ff4444/ffffff,http://dummyimage.com/178x203.png/cc0000/ffffff,Fuscia,Tools
